	fleet = {
		name = "Tikhookeanskiy Flot"
		naval_base = 957 # Vladivostok
		task_force = {
			ship = { ordered_name = 124 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series V Shchuka" } } }
			# 16iy Podvodniy Flot
			ship = { ordered_name = 126 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { ordered_name = 127 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { ordered_name = 128 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { ordered_name = 129 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { ordered_name = 130 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			# 17iy Podvodniy Flot
			ship = { ordered_name = 131 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { ordered_name = 132 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { ordered_name = 133 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			ship = { ordered_name = 134 definition = submarine equipment = { ship_hull_submarine_1 = { amount = 1 owner = SOV version_name = "Series X Shchuka" } } }
			# 18iy  Podvodniy Flot
			ship = { ordered_name = 7 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series II Leninets" } } }
			ship = { ordered_name = 8 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series II Leninets" } } }
			ship = { ordered_name = 9 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series II Leninets" } } }
			ship = { ordered_name = 10 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series II Leninets" } } }
			ship = { ordered_name = 11 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series II Leninets" } } }
			ship = { ordered_name = 12 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series II Leninets" } } }
			# 18iy  Podvodniy Flot
			ship = { ordered_name = 13 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series XIII Leninets" } } }
			ship = { ordered_name = 14 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series XIII Leninets" } } }
			ship = { ordered_name = 15 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series XIII Leninets" } } }
			ship = { ordered_name = 16 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series XIII Leninets" } } }
			ship = { ordered_name = 17 definition = submarine equipment = { ship_hull_submarine_2 = { amount = 1 owner = SOV version_name = "Series XIII Leninets" } } }
		}
	}
}
