units = {

	fleet = {
		name = "Mothball Fleet"
		naval_base = 7315
		task_force = {
			ship = { name = "USS Stansbury" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA version_name = "Wickes Class" } } }

			ship = { name = "USS Caldwell" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Allen" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Sampson" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Rowan" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Wadsworth" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Tucker" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Cushing" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Winslow" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
			ship = { name = "USS Nicholson" definition = destroyer equipment = { destroyer_1 = { amount = 1 owner = USA } } }
		}
	}
}
					
